network_i,topology,aval_i,seed_node,e_w_mult,e_w,i_w,theta,slope,p_ext,N,dt,max_steps,n_edges,n_edges_E,n_edges_I,size,duration_steps,duration_time,peak_active,active_steps,censored
0,hiermod,20,1411,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,9,6,0.06,4,4,False
0,hiermod,21,1380,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117179,1000,10.0,146,1000,True
0,hiermod,22,1869,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,13,8,0.08,3,6,False
0,hiermod,23,172,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116351,1000,10.0,148,1000,True
0,hiermod,24,1780,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,115962,1000,10.0,159,1000,True
0,hiermod,25,1364,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,112548,1000,10.0,152,1000,True
0,hiermod,26,459,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117484,1000,10.0,154,1000,True
0,hiermod,27,942,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116824,1000,10.0,151,1000,True
0,hiermod,28,1918,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117091,1000,10.0,145,1000,True
0,hiermod,29,41,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,110825,1000,10.0,143,1000,True
0,hiermod,30,1617,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117630,1000,10.0,149,1000,True
0,hiermod,31,237,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,114102,1000,10.0,152,1000,True
0,hiermod,32,1227,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117593,1000,10.0,143,1000,True
0,hiermod,33,1710,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118578,1000,10.0,154,1000,True
0,hiermod,34,1516,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116119,1000,10.0,151,1000,True
0,hiermod,35,902,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116850,1000,10.0,152,1000,True
0,hiermod,36,435,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116989,1000,10.0,149,998,True
0,hiermod,37,1316,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,113024,1000,10.0,145,1000,True
0,hiermod,38,1043,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,113029,1000,10.0,154,1000,True
0,hiermod,39,1780,0.75,16.058625,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117542,1000,10.0,149,1000,True
0,hiermod,0,1296,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117258,1000,10.0,150,1000,True
0,hiermod,1,835,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119828,1000,10.0,151,1000,True
0,hiermod,2,1682,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118610,1000,10.0,151,1000,True
0,hiermod,3,465,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118177,1000,10.0,156,1000,True
0,hiermod,4,1981,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117533,1000,10.0,154,1000,True
0,hiermod,5,484,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,1,3,0.03,1,1,False
0,hiermod,6,231,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119244,1000,10.0,154,1000,True
0,hiermod,7,933,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118626,1000,10.0,152,1000,True
0,hiermod,8,299,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117363,1000,10.0,152,996,True
0,hiermod,9,1046,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119531,1000,10.0,154,1000,True
0,hiermod,10,693,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,107478,1000,10.0,139,999,True
0,hiermod,11,1115,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,115348,1000,10.0,146,999,True
0,hiermod,12,830,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,120773,1000,10.0,146,999,True
0,hiermod,13,131,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,115777,1000,10.0,140,1000,True
0,hiermod,14,1659,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116643,1000,10.0,149,998,True
0,hiermod,15,621,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118447,1000,10.0,148,1000,True
0,hiermod,16,468,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118455,1000,10.0,150,1000,True
0,hiermod,17,47,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,115843,1000,10.0,143,1000,True
0,hiermod,18,708,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,115494,1000,10.0,164,998,True
0,hiermod,19,1342,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116505,1000,10.0,153,1000,True
0,hiermod,20,466,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119357,1000,10.0,155,1000,True
0,hiermod,21,1601,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,120637,1000,10.0,151,1000,True
0,hiermod,22,1126,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,115154,1000,10.0,148,1000,True
0,hiermod,23,1141,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117993,1000,10.0,150,1000,True
0,hiermod,24,913,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117218,1000,10.0,149,1000,True
0,hiermod,25,1203,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116727,1000,10.0,156,1000,True
0,hiermod,26,1740,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116087,1000,10.0,148,1000,True
0,hiermod,27,1641,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116855,1000,10.0,147,1000,True
0,hiermod,28,211,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,114322,1000,10.0,153,1000,True
0,hiermod,29,171,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,115971,1000,10.0,139,998,True
0,hiermod,30,652,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116217,1000,10.0,147,1000,True
0,hiermod,31,716,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,115660,1000,10.0,147,1000,True
0,hiermod,32,616,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,114016,1000,10.0,148,1000,True
0,hiermod,33,347,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119197,1000,10.0,148,1000,True
0,hiermod,34,828,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117470,1000,10.0,153,1000,True
0,hiermod,35,946,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,113279,1000,10.0,146,1000,True
0,hiermod,36,551,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118470,1000,10.0,155,1000,True
0,hiermod,37,1305,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,115887,1000,10.0,153,1000,True
0,hiermod,38,672,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,120795,1000,10.0,148,1000,True
0,hiermod,39,1305,1.0,21.4115,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118386,1000,10.0,147,1000,True
0,hiermod,0,1471,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119852,1000,10.0,148,1000,True
0,hiermod,1,674,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117045,1000,10.0,147,1000,True
0,hiermod,2,948,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,111618,1000,10.0,140,1000,True
0,hiermod,3,1831,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,112956,1000,10.0,143,1000,True
0,hiermod,4,631,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119541,1000,10.0,147,1000,True
0,hiermod,5,800,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,120054,1000,10.0,153,1000,True
0,hiermod,6,1739,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116660,1000,10.0,150,997,True
0,hiermod,7,120,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118052,1000,10.0,150,998,True
0,hiermod,8,205,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118619,1000,10.0,153,1000,True
0,hiermod,9,1971,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118465,1000,10.0,150,1000,True
0,hiermod,10,1213,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116329,1000,10.0,144,1000,True
0,hiermod,11,1911,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119906,1000,10.0,153,1000,True
0,hiermod,12,6,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119642,1000,10.0,149,1000,True
0,hiermod,13,1593,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118992,1000,10.0,150,999,True
0,hiermod,14,727,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,115909,1000,10.0,152,1000,True
0,hiermod,15,1964,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,115811,1000,10.0,144,1000,True
0,hiermod,16,699,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118563,1000,10.0,150,1000,True
0,hiermod,17,979,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117440,1000,10.0,154,1000,True
0,hiermod,18,1466,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,117243,1000,10.0,152,997,True
0,hiermod,19,420,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118193,1000,10.0,153,1000,True
0,hiermod,20,1923,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118066,1000,10.0,154,1000,True
0,hiermod,21,1245,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119678,1000,10.0,151,1000,True
0,hiermod,22,1857,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116669,1000,10.0,149,999,True
0,hiermod,23,143,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,112906,1000,10.0,146,1000,True
0,hiermod,24,35,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118209,1000,10.0,150,1000,True
0,hiermod,25,591,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,120010,1000,10.0,151,1000,True
0,hiermod,26,718,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119849,1000,10.0,149,1000,True
0,hiermod,27,852,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119139,1000,10.0,155,1000,True
0,hiermod,28,1409,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116171,1000,10.0,148,999,True
0,hiermod,29,1933,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,116037,1000,10.0,147,999,True
0,hiermod,30,790,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,115966,1000,10.0,157,1000,True
0,hiermod,31,137,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118670,1000,10.0,153,1000,True
0,hiermod,32,277,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,118773,1000,10.0,152,1000,True
0,hiermod,33,1929,1.25,26.764375,21.675,7.5,2.1,0.0,2000,0.01,1000,2765,2210,555,119426,1000,10.0,155,1000,True
