network_i,topology,aval_i,seed_node,e_w_mult,e_w,i_w,theta,slope,p_ext,N,dt,max_steps,n_edges,n_edges_E,n_edges_I,size,duration_steps,duration_time,peak_active,active_steps,censored
0,hiermod,24,623,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,323,78,0.78,11,71,False
0,hiermod,25,1462,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,46,20,0.2,5,17,False
0,hiermod,26,619,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,1,3,0.03,1,1,False
0,hiermod,27,910,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,731,148,1.48,16,143,False
0,hiermod,28,1054,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,128,39,0.39,12,37,False
0,hiermod,29,213,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,1197,352,3.52,20,324,False
0,hiermod,30,1147,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,1558,399,3.99,14,379,False
0,hiermod,31,1886,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,165,77,0.77,7,65,False
0,hiermod,32,22,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,2055,517,5.17,18,482,False
0,hiermod,33,804,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,986,244,2.44,13,226,False
0,hiermod,34,788,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,2184,480,4.8,23,459,False
0,hiermod,35,1354,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,901,219,2.19,16,203,False
0,hiermod,36,930,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,1135,272,2.72,19,260,False
0,hiermod,37,456,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,107,48,0.48,7,41,False
0,hiermod,38,1123,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,843,194,1.94,18,184,False
0,hiermod,39,186,0.75,16.058625,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,580,159,1.59,14,146,False
0,hiermod,0,1296,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,136,56,0.56,7,46,False
0,hiermod,1,835,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,444,111,1.11,18,100,False
0,hiermod,2,1936,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,530,150,1.5,14,140,False
0,hiermod,3,1968,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,90,29,0.29,9,24,False
0,hiermod,4,702,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,21,8,0.08,6,6,False
0,hiermod,5,529,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,912,217,2.17,15,201,False
0,hiermod,6,1954,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,845,216,2.16,16,203,False
0,hiermod,7,655,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,133,40,0.4,8,35,False
0,hiermod,8,918,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,1065,324,3.24,13,297,False
0,hiermod,9,1647,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,498,95,0.9500000000000001,16,88,False
0,hiermod,10,1780,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,946,238,2.38,13,218,False
0,hiermod,11,1376,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,946,256,2.56,14,229,False
0,hiermod,12,1955,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,447,102,1.02,16,92,False
0,hiermod,13,1709,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,557,150,1.5,13,136,False
0,hiermod,14,115,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,213,71,0.71,10,64,False
0,hiermod,15,1358,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,497,124,1.24,16,115,False
0,hiermod,16,123,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,93,48,0.48,8,40,False
0,hiermod,17,508,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,549,140,1.4000000000000001,13,133,False
0,hiermod,18,1769,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,400,94,0.9400000000000001,14,88,False
0,hiermod,19,1852,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,447,112,1.12,18,105,False
0,hiermod,20,930,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,313,87,0.87,10,81,False
0,hiermod,21,486,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,430,125,1.25,9,115,False
0,hiermod,22,1676,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,66,24,0.24,13,19,False
0,hiermod,23,1835,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,462,121,1.21,16,110,False
0,hiermod,24,1025,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,80,32,0.32,6,28,False
0,hiermod,25,521,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,500,130,1.3,14,119,False
0,hiermod,26,141,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,1017,207,2.07,18,198,False
0,hiermod,27,918,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,155,41,0.41000000000000003,10,38,False
0,hiermod,28,308,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,730,165,1.6500000000000001,16,155,False
0,hiermod,29,1801,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,29,13,0.13,4,11,False
0,hiermod,30,1402,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,50,13,0.13,9,11,False
0,hiermod,31,1653,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,1588,443,4.43,17,398,False
0,hiermod,32,1759,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,2622,607,6.07,18,582,False
0,hiermod,33,303,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,2707,705,7.05,15,654,False
0,hiermod,34,1183,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,98,30,0.3,8,27,False
0,hiermod,35,1382,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,816,221,2.21,17,206,False
0,hiermod,36,1907,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,60,20,0.2,12,16,False
0,hiermod,37,1181,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,262,75,0.75,8,71,False
0,hiermod,38,790,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,104,48,0.48,6,40,False
0,hiermod,39,335,1.0,21.4115,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,693,208,2.08,13,192,False
0,hiermod,0,1471,1.25,26.764375,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,1188,297,2.97,19,281,False
0,hiermod,1,674,1.25,26.764375,21.675,7.5,2.25,0.0,2000,0.01,1000,1742,1398,344,42,21,0.21,6,18,False
