slope,p_ext,network_density,mean_pop_count,mean_cell_activity,active_frac,silent_frac,n_avalanches,pop_var,pop_cv,branching_ratio_regression,branching_ratio_mean,lag1_autocorr,autocorr_time_s,av_size_mean,av_size_max,av_size_q90,av_size_q99,av_size_q99_q50,av_size_cv,av_dur_mean_bins,av_dur_max_bins,av_dur_q90_bins,av_dur_q99_bins,av_dur_q99_q50,av_dur_cv,rough_size_slope,rough_size_r2,rough_duration_slope,rough_duration_r2,regime,branching_closeness,candidate_score
1.8,1e-06,0.0021126666666666668,451.90541666666667,0.22595270833333334,0.9995833333333334,0.0004166666666666667,1.0,3850.6919390625008,0.13710572900454487,0.9874366764960044,1.0259242030432303,0.2661975668299204,0.0,,,,,,,,,,,,,,,,,continuous,-0.012563323503995583,
1.8,2.3968709947764157e-06,0.0021126666666666668,451.90625,0.22595312499999998,0.9995833333333334,0.0004166666666666667,1.0,3850.769161979167,0.13710696442494538,0.9874363812216945,1.0259245123365865,0.2661942644960961,0.0,,,,,,,,,,,,,,,,,continuous,-0.012563618778305474,
1.8,5.744990565600497e-06,0.0021126666666666668,451.90958333333333,0.22595479166666665,0.9995833333333334,0.0004166666666666667,1.0,3850.563678645833,0.13710201995089857,0.9874376667308669,1.0259230545204707,0.2662177356116435,0.0,,,,,,,,,,,,,,,,,continuous,-0.012562333269133141,
1.8,1.3770001251951984e-05,0.0021126666666666668,451.02125,0.225510625,0.9995833333333334,0.0004166666666666667,1.0,3858.7506015625,0.1375739473832336,0.9872154054880569,1.0262295162913224,0.2590312033608623,0.0,,,,,,,,,,,,,,,,,continuous,-0.012784594511943137,
1.8,3.300491659883871e-05,0.0021126666666666668,451.3691666666667,0.22568458333333333,0.9995833333333334,0.0004166666666666667,1.0,4874.162965625,0.1522323533381821,0.9822362428148449,1.0308939402880732,0.22338647997521086,0.0,,,,,,,,,,,,,,,,,continuous,-0.017763757185155105,
1.8,7.910852728077119e-05,0.0021126666666666668,451.20416666666665,0.22560208333333331,0.9995833333333334,0.0004166666666666667,1.0,4956.465709375,0.1537671954428813,0.9818543258357758,1.0313160090509415,0.2172343392111943,0.0,,,,,,,,,,,,,,,,,continuous,-0.01814567416422419,
1.8,0.00018961293447875924,0.0021126666666666668,452.2758333333333,0.2261379166666667,1.0,0.0,1.0,4430.318653125,0.14316332900502993,0.9841603769544576,1.0288439038659891,0.2723124221992261,0.006000940848448318,,,,,,,,,,,,,,,,,continuous,-0.015839623045542428,
1.8,0.00045447774288657946,0.0021126666666666668,452.58500000000004,0.2262925,1.0,0.0,1.0,4605.010257291667,0.14622275619831773,0.9828913057266337,1.0306029719635141,0.23734585383100035,0.0,,,,,,,,,,,,,,,,,continuous,-0.017108694273366254,
1.8,0.0010893245196962969,0.0021126666666666668,454.69249999999994,0.22734625,1.0,0.0,1.0,5735.774714583334,0.16559267881870765,0.976981348329515,1.0353665347806948,0.1149448351082536,0.0,,,,,,,,,,,,,,,,,continuous,-0.023018651670485002,
1.8,0.002610970345158807,0.0021126666666666668,453.5195833333334,0.22675979166666668,1.0,0.0,1.0,5334.359547395833,0.16008406407176012,0.9779889805281461,1.0313233492844818,0.08505551767630898,0.0,,,,,,,,,,,,,,,,,continuous,-0.02201101947185391,
1.8,0.006258159088532518,0.0021126666666666668,456.1425,0.22807124999999998,1.0,0.0,1.0,3739.468911458333,0.13267381837309158,0.9850160628889283,1.0236213961924128,0.0967662331896764,0.0,,,,,,,,,,,,,,,,,continuous,-0.01498393711107171,
1.8,0.014999999999999996,0.0021126666666666668,459.2070833333333,0.22960354166666666,1.0,0.0,1.0,4745.738440104166,0.14994539682246058,0.9801148793466062,1.0276299890165264,0.041359760792646034,0.0,,,,,,,,,,,,,,,,,continuous,-0.019885120653393762,
2.1,1e-06,0.0006840833333333334,60.227916666666665,0.030113958333333333,0.9991666666666666,0.0008333333333333334,1.3333333333333333,205.76768489583333,0.2533683858658731,0.991077209996285,1.0160056412861864,0.8114961490332474,0.2972025302679974,,,,,,,,,,,,,,,,,continuous,-0.008922790003714987,
2.1,2.3968709947764157e-06,0.0006840833333333334,60.231249999999996,0.030115624999999997,0.9991666666666666,0.0008333333333333334,1.3333333333333333,205.7739442708333,0.253363933168742,0.991074580450006,1.0160101215622888,0.8114350701434913,0.297204635581199,,,,,,,,,,,,,,,,,continuous,-0.00892541954999404,
