mean_pop_count,mean_cell_activity,active_frac,silent_frac,pop_var,pop_std,pop_cv,branching_ratio_mean,branching_ratio_regression,lag1_autocorr,autocorr_time_s,n_avalanches,av_size_mean,av_size_max,av_size_q50,av_size_q90,av_size_q99,av_size_cv,av_size_q99_q50,av_dur_mean_bins,av_dur_max_bins,av_dur_q50_bins,av_dur_q90_bins,av_dur_q99_bins,av_dur_cv,av_dur_q99_q50,rough_size_slope,rough_size_r2,rough_duration_slope,rough_duration_r2,slope,p_ext,seed,T,network_density,e_w,i_w,theta
497.035,0.2485175,1.0,0.0,76307.77377500001,276.23861745780584,0.5557729686195243,1.4257595832827905,0.7574524782392812,-0.033440967445065556,0.0,1,,,,,,,,,,,,,,,,,,,1.5,0.00045447774288657946,2,8.0,0.00859175,21.4115,21.675,7.5
494.0275,0.24701375,1.0,0.0,86415.48674375,293.9651114396911,0.5950379512065431,1.8918866518246333,0.7377919113637833,-0.007306028930293037,0.0,1,,,,,,,,,,,,,,,,,,,1.5,0.0010893245196962969,1,8.0,0.00854,21.4115,21.675,7.5
497.15625,0.248578125,1.0,0.0,103996.4918359375,322.4848707085923,0.6486589894195067,1.656658298332613,0.6932306747633374,-0.04131049543091829,0.0,1,,,,,,,,,,,,,,,,,,,1.5,0.002610970345158807,0,8.0,0.00852025,21.4115,21.675,7.5
497.46125,0.248730625,1.0,0.0,75848.5084984375,275.4060792692084,0.5536231802360643,1.516214224060397,0.7659985115366957,-0.003884235590528373,0.0,1,,,,,,,,,,,,,,,,,,,1.5,0.0010893245196962969,2,8.0,0.00859175,21.4115,21.675,7.5
494.77125,0.247385625,1.0,0.0,135743.45642343748,368.43378838461257,0.7446548043860911,2.102898774623776,0.6440286371106582,-0.0002851463650788163,0.0,1,,,,,,,,,,,,,,,,,,,1.5,0.002610970345158807,1,8.0,0.00854,21.4115,21.675,7.5
496.68625,0.248343125,1.0,0.0,109135.53781093746,330.3566827096698,0.6651214578814476,1.6031711451718489,0.6779826177301992,-0.05513000059997006,0.0,1,,,,,,,,,,,,,,,,,,,1.5,0.0010893245196962969,0,8.0,0.00852025,21.4115,21.675,7.5
497.225,0.2486125,1.0,0.0,110144.469375,331.8802033490398,0.6674648365408801,1.9079260798765194,0.6933572722722908,0.0015549831092268526,0.0,1,,,,,,,,,,,,,,,,,,,1.5,0.002610970345158807,2,8.0,0.00859175,21.4115,21.675,7.5
497.3975,0.24869875,1.0,0.0,56263.54449375,237.19937709393335,0.47688091937320326,1.4339796497968096,0.8101777780635626,-0.030928997240861435,0.0,1,,,,,,,,,,,,,,,,,,,1.5,0.006258159088532518,0,8.0,0.00852025,21.4115,21.675,7.5
495.1825,0.24759125,1.0,0.0,158517.47919375,398.1425362778386,0.8040319201058959,2.3020767084430975,0.5877703634076057,-0.051084800333667295,0.0,1,,,,,,,,,,,,,,,,,,,1.5,0.006258159088532518,1,8.0,0.00854,21.4115,21.675,7.5
498.875,0.2494375,1.0,0.0,130306.049375,360.97929216923234,0.7235866543106622,1.8458104232792731,0.6412643674241673,-0.045654578570505866,0.0,1,,,,,,,,,,,,,,,,,,,1.5,0.006258159088532518,2,8.0,0.00859175,21.4115,21.675,7.5
496.33625,0.248168125,1.0,0.0,160826.34818593747,401.03160497140055,0.8079837105820897,2.188841678287513,0.5776088748712608,-0.07045862254985422,0.0,1,,,,,,,,,,,,,,,,,,,1.5,0.014999999999999996,1,8.0,0.00854,21.4115,21.675,7.5
498.52875,0.249264375,1.0,0.0,128616.03667343751,358.63078043224,0.7193783316052269,2.046944499430985,0.6439471803298792,-0.04543165369756164,0.0,1,,,,,,,,,,,,,,,,,,,1.5,0.014999999999999996,2,8.0,0.00859175,21.4115,21.675,7.5
498.04625,0.249023125,1.0,0.0,136319.2566109375,369.21437757884985,0.7413254844883364,1.8003419455947014,0.6202169856417546,-0.07215392110793047,0.0,1,,,,,,,,,,,,,,,,,,,1.5,0.014999999999999996,0,8.0,0.00852025,21.4115,21.675,7.5
449.1725,0.22458625,0.99875,0.00125,3783.2777437500004,61.50835507270537,0.13693704550635943,1.0259041578630304,0.9896521342579679,0.3772728758099896,0.0,1,,,,,,,,,,,,,,,,,,,1.8,1e-06,0,8.0,0.00210375,21.4115,21.675,7.5
452.37875,0.226189375,1.0,0.0,4420.492798437501,66.48678664544934,0.14697150705122464,1.0288206933045925,0.9844408759853335,0.21738426450100024,0.0,1,,,,,,,,,,,,,,,,,,,1.8,1e-06,2,8.0,0.00212325,21.4115,21.675,7.5
