gen,mean_cluster_size,n_clusters,mean_variance,timescale,kurtosis_corr,mean_variance_norm,timescale_norm,gain,seed,p_ext,regime
0,1.0,2000,0.23468850553035736,0.054380170927224206,3.1226697113189834,0.999999999995739,0.9999999999816109,0.8,0,0.015,high_drive_icg
1,2.0,1000,0.752810537815094,0.06383745668792465,3.0274397874122823,3.207700931541826,1.1739105559668617,0.8,0,0.015,high_drive_icg
2,4.0,500,2.3563320636749268,0.07393722980217853,2.908407121705804,10.040253391788251,1.3596358477756068,0.8,0,0.015,high_drive_icg
3,8.0,250,7.258354663848877,0.08187484958576043,2.787922841228454,30.927610397515053,1.5056011812435484,0.8,0,0.015,high_drive_icg
4,16.0,125,21.640668869018555,0.09888551906234694,2.6238845631449914,92.21017799752057,1.818411332190641,0.8,0,0.015,high_drive_icg
5,31.746031746031747,63,63.1032829284668,0.11693437016567632,2.60759302993914,268.88101224043714,2.15031266304802,0.8,0,0.015,high_drive_icg
6,62.5,32,179.49105834960938,0.1340604721818877,2.4729053893276314,764.8054937468042,2.4652455094124783,0.8,0,0.015,high_drive_icg
7,125.0,16,518.8025512695312,0.16753377999437227,2.5667998232619555,2210.6006005488525,3.0807880360563464,0.8,0,0.015,high_drive_icg
0,1.0,2000,0.23812289535999298,0.04992001888288847,3.128597880746066,0.9999999999958005,0.999999999979968,0.8,1,0.015,high_drive_icg
1,2.0,1000,0.7643444538116455,0.05577845221735217,3.023832672624721,3.2098738454061864,1.1173563925744927,0.8,1,0.015,high_drive_icg
2,4.0,500,2.394835948944092,0.06063842905280953,2.9163355086649343,10.057142742672996,1.2147116609441106,0.8,1,0.015,high_drive_icg
3,8.0,250,7.392623424530029,0.06954242119605945,2.785657847117201,31.045412131928153,1.3930768207001631,0.8,1,0.015,high_drive_icg
4,16.0,125,22.215965270996094,0.08160315839253902,2.657375155515505,93.29621680148317,1.6346780353257477,0.8,1,0.015,high_drive_icg
5,31.746031746031747,63,64.94639587402344,0.08442759126919175,2.609342782477102,272.7431806822484,1.6912571981506301,0.8,1,0.015,high_drive_icg
6,62.5,32,184.3427276611328,0.09476728075083155,2.6092645286504252,774.1495305676939,1.8983823097354116,0.8,1,0.015,high_drive_icg
7,125.0,16,513.688232421875,0.1015756932032918,2.7126926284474626,2157.239990061126,2.034768725539786,0.8,1,0.015,high_drive_icg
0,1.0,2000,0.23471114039421082,0.054313840201597824,3.1235454029219327,0.9999999999957394,0.9999999999815885,1.0,0,0.015,high_drive_icg
1,2.0,1000,0.7529382109642029,0.06375524611624736,3.027784106878094,3.2079355487617334,1.1738305720684055,1.0,0,0.015,high_drive_icg
2,4.0,500,2.3574018478393555,0.07364896949537059,2.9095488165781247,10.043843014310783,1.3559889932409523,1.0,0,0.015,high_drive_icg
3,8.0,250,7.266120910644531,0.08022368192042356,2.76781140478682,30.95771635896663,1.477039399555962,1.0,0,0.015,high_drive_icg
4,16.0,125,21.641239166259766,0.09589481055554266,2.6276108783022845,92.20371529796097,1.7655685953680003,1.0,0,0.015,high_drive_icg
5,31.746031746031747,63,63.164730072021484,0.11435004804439856,2.5749764747689214,269.11688114021166,2.105357448817055,1.0,0,0.015,high_drive_icg
6,62.5,32,181.2738037109375,0.14367216699371954,2.4695273437017335,772.3272248846196,2.645222036552807,1.0,0,0.015,high_drive_icg
7,125.0,16,524.69873046875,0.1763021787480109,2.203839019987643,2235.5084193500697,3.2459899371942846,1.0,0,0.015,high_drive_icg
0,1.0,2000,0.23813772201538086,0.04990864201165987,3.1287538934587444,0.9999999999958007,0.9999999999799634,1.0,1,0.015,high_drive_icg
1,2.0,1000,0.7644037008285522,0.05576174013735857,3.023973977497224,3.2099227890320163,1.1172762449279625,1.0,1,0.015,high_drive_icg
2,4.0,500,2.395047426223755,0.06059395849683183,2.9167747124117045,10.057404622603242,1.214097520053972,1.0,1,0.015,high_drive_icg
3,8.0,250,7.393990993499756,0.06949441450579812,2.7857752057127043,31.049221983366174,1.3924324867058115,1.0,1,0.015,high_drive_icg
4,16.0,125,22.22106170654297,0.08157793943470798,2.6569394904220536,93.31180931097695,1.6345453641879266,1.0,1,0.015,high_drive_icg
5,31.746031746031747,63,64.96096801757812,0.0843955714702943,2.6091030588855535,272.7873915460971,1.6910011586547766,1.0,1,0.015,high_drive_icg
6,62.5,32,184.35086059570312,0.0946171732450265,2.6093158838132133,774.1354835964296,1.8958074078839056,1.0,1,0.015,high_drive_icg
7,125.0,16,513.619384765625,0.10150378433057478,2.711543088637587,2156.816569910308,2.0337917490287,1.0,1,0.015,high_drive_icg
0,1.0,2000,0.23471114039421082,0.054313840201597824,3.1235454029219327,0.9999999999957394,0.9999999999815885,1.2,0,0.015,high_drive_icg
1,2.0,1000,0.7529382109642029,0.06375524611624736,3.027784106878094,3.2079355487617334,1.1738305720684055,1.2,0,0.015,high_drive_icg
2,4.0,500,2.3574018478393555,0.07364896949537059,2.9095488165781247,10.043843014310783,1.3559889932409523,1.2,0,0.015,high_drive_icg
3,8.0,250,7.266120910644531,0.08022368192042356,2.76781140478682,30.95771635896663,1.477039399555962,1.2,0,0.015,high_drive_icg
4,16.0,125,21.641239166259766,0.09589481055554266,2.6276108783022845,92.20371529796097,1.7655685953680003,1.2,0,0.015,high_drive_icg
5,31.746031746031747,63,63.164730072021484,0.11435004804439856,2.5749764747689214,269.11688114021166,2.105357448817055,1.2,0,0.015,high_drive_icg
6,62.5,32,181.2738037109375,0.14367216699371954,2.4695273437017335,772.3272248846196,2.645222036552807,1.2,0,0.015,high_drive_icg
7,125.0,16,524.69873046875,0.1763021787480109,2.203839019987643,2235.5084193500697,3.2459899371942846,1.2,0,0.015,high_drive_icg
0,1.0,2000,0.23813772201538086,0.04990864201165987,3.1287538934587444,0.9999999999958007,0.9999999999799634,1.2,1,0.015,high_drive_icg
1,2.0,1000,0.7644037008285522,0.05576174013735857,3.023973977497224,3.2099227890320163,1.1172762449279625,1.2,1,0.015,high_drive_icg
2,4.0,500,2.395047426223755,0.06059395849683183,2.9167747124117045,10.057404622603242,1.214097520053972,1.2,1,0.015,high_drive_icg
3,8.0,250,7.393990993499756,0.06949441450579812,2.7857752057127043,31.049221983366174,1.3924324867058115,1.2,1,0.015,high_drive_icg
4,16.0,125,22.22106170654297,0.08157793943470798,2.6569394904220536,93.31180931097695,1.6345453641879266,1.2,1,0.015,high_drive_icg
5,31.746031746031747,63,64.96096801757812,0.0843955714702943,2.6091030588855535,272.7873915460971,1.6910011586547766,1.2,1,0.015,high_drive_icg
6,62.5,32,184.35086059570312,0.0946171732450265,2.6093158838132133,774.1354835964296,1.8958074078839056,1.2,1,0.015,high_drive_icg
7,125.0,16,513.619384765625,0.10150378433057478,2.711543088637587,2156.816569910308,2.0337917490287,1.2,1,0.015,high_drive_icg
0,1.0,2000,0.23471114039421082,0.054313840201597824,3.1235454029219327,0.9999999999957394,0.9999999999815885,1.4,0,0.015,high_drive_icg
1,2.0,1000,0.7529382109642029,0.06375524611624736,3.027784106878094,3.2079355487617334,1.1738305720684055,1.4,0,0.015,high_drive_icg
2,4.0,500,2.3574018478393555,0.07364896949537059,2.9095488165781247,10.043843014310783,1.3559889932409523,1.4,0,0.015,high_drive_icg
3,8.0,250,7.266120910644531,0.08022368192042356,2.76781140478682,30.95771635896663,1.477039399555962,1.4,0,0.015,high_drive_icg
4,16.0,125,21.641239166259766,0.09589481055554266,2.6276108783022845,92.20371529796097,1.7655685953680003,1.4,0,0.015,high_drive_icg
5,31.746031746031747,63,63.164730072021484,0.11435004804439856,2.5749764747689214,269.11688114021166,2.105357448817055,1.4,0,0.015,high_drive_icg
6,62.5,32,181.2738037109375,0.14367216699371954,2.4695273437017335,772.3272248846196,2.645222036552807,1.4,0,0.015,high_drive_icg
7,125.0,16,524.69873046875,0.1763021787480109,2.203839019987643,2235.5084193500697,3.2459899371942846,1.4,0,0.015,high_drive_icg
0,1.0,2000,0.23813772201538086,0.04990864201165987,3.1287538934587444,0.9999999999958007,0.9999999999799634,1.4,1,0.015,high_drive_icg
1,2.0,1000,0.7644037008285522,0.05576174013735857,3.023973977497224,3.2099227890320163,1.1172762449279625,1.4,1,0.015,high_drive_icg
2,4.0,500,2.395047426223755,0.06059395849683183,2.9167747124117045,10.057404622603242,1.214097520053972,1.4,1,0.015,high_drive_icg
3,8.0,250,7.393990993499756,0.06949441450579812,2.7857752057127043,31.049221983366174,1.3924324867058115,1.4,1,0.015,high_drive_icg
4,16.0,125,22.22106170654297,0.08157793943470798,2.6569394904220536,93.31180931097695,1.6345453641879266,1.4,1,0.015,high_drive_icg
5,31.746031746031747,63,64.96096801757812,0.0843955714702943,2.6091030588855535,272.7873915460971,1.6910011586547766,1.4,1,0.015,high_drive_icg
6,62.5,32,184.35086059570312,0.0946171732450265,2.6093158838132133,774.1354835964296,1.8958074078839056,1.4,1,0.015,high_drive_icg
7,125.0,16,513.619384765625,0.10150378433057478,2.711543088637587,2156.816569910308,2.0337917490287,1.4,1,0.015,high_drive_icg
0,1.0,2000,0.23471114039421082,0.054313840201597824,3.1235454029219327,0.9999999999957394,0.9999999999815885,1.6,0,0.015,high_drive_icg
1,2.0,1000,0.7529382109642029,0.06375524611624736,3.027784106878094,3.2079355487617334,1.1738305720684055,1.6,0,0.015,high_drive_icg
2,4.0,500,2.3574018478393555,0.07364896949537059,2.9095488165781247,10.043843014310783,1.3559889932409523,1.6,0,0.015,high_drive_icg
3,8.0,250,7.266120910644531,0.08022368192042356,2.76781140478682,30.95771635896663,1.477039399555962,1.6,0,0.015,high_drive_icg
4,16.0,125,21.641239166259766,0.09589481055554266,2.6276108783022845,92.20371529796097,1.7655685953680003,1.6,0,0.015,high_drive_icg
5,31.746031746031747,63,63.164730072021484,0.11435004804439856,2.5749764747689214,269.11688114021166,2.105357448817055,1.6,0,0.015,high_drive_icg
6,62.5,32,181.2738037109375,0.14367216699371954,2.4695273437017335,772.3272248846196,2.645222036552807,1.6,0,0.015,high_drive_icg
7,125.0,16,524.69873046875,0.1763021787480109,2.203839019987643,2235.5084193500697,3.2459899371942846,1.6,0,0.015,high_drive_icg
0,1.0,2000,0.23813772201538086,0.04990864201165987,3.1287538934587444,0.9999999999958007,0.9999999999799634,1.6,1,0.015,high_drive_icg
1,2.0,1000,0.7644037008285522,0.05576174013735857,3.023973977497224,3.2099227890320163,1.1172762449279625,1.6,1,0.015,high_drive_icg
2,4.0,500,2.395047426223755,0.06059395849683183,2.9167747124117045,10.057404622603242,1.214097520053972,1.6,1,0.015,high_drive_icg
3,8.0,250,7.393990993499756,0.06949441450579812,2.7857752057127043,31.049221983366174,1.3924324867058115,1.6,1,0.015,high_drive_icg
4,16.0,125,22.22106170654297,0.08157793943470798,2.6569394904220536,93.31180931097695,1.6345453641879266,1.6,1,0.015,high_drive_icg
5,31.746031746031747,63,64.96096801757812,0.0843955714702943,2.6091030588855535,272.7873915460971,1.6910011586547766,1.6,1,0.015,high_drive_icg
6,62.5,32,184.35086059570312,0.0946171732450265,2.6093158838132133,774.1354835964296,1.8958074078839056,1.6,1,0.015,high_drive_icg
7,125.0,16,513.619384765625,0.10150378433057478,2.711543088637587,2156.816569910308,2.0337917490287,1.6,1,0.015,high_drive_icg
