analysis_level,module_id,module_size,local_mean_rate_hz,local_pop_count_mean,local_pop_count_std,local_avalanche_tau,local_avalanche_xmin,local_avalanche_n_tail,local_n_avalanches,local_avalanche_size_mean,local_avalanche_size_max,local_avalanche_duration_mean_s,local_avalanche_duration_max_s,local_avalanche_threshold,local_avalanche_threshold_mode,local_frac_silent_bins,local_branching_proxy,local_timescale,N0,N1,n_add,add_neuron_frac,e0,i0,e1,i1,n_add_e,n_add_i,baseline_edge_density,p_new_edge_density,n_edges_old,n_edges_new_total,n_edges_added,mean_out_degree_old,mean_out_degree_new,actual_N,actual_E,actual_I,actual_ei_ratio_implied,actual_dt,actual_refractory_steps,actual_p_ext,actual_slope,actual_e_w,actual_i_w,actual_theta,T_RUN,repeat,seed,condition
3,32,16,3.773125,0.6037,0.7359662424323551,2.2532113394238182,1.0,2263,2263,2.667697746354397,13.0,0.02088378258948299,0.11,0.0,silent_bins,0.5274,0.45083324136408787,0.1869765767324773,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,33,16,4.094375,0.6551,0.794697420406031,2.1649114131842557,1.0,2173,2173,3.014726184997699,17.0,0.022268752876208008,0.1,0.0,silent_bins,0.5161,0.5034885913633792,0.23558212272447115,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,34,16,5.07125,0.8114,0.9531159635637209,2.0659638410997188,1.0,2575,2575,3.1510679611650487,17.0,0.020174757281553397,0.13,0.0,silent_bins,0.4805,0.36775593566504977,0.12744704189211783,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,35,16,3.09,0.4944,0.7523088727377871,2.4422942465889106,1.0,1988,1988,2.48692152917505,11.0,0.01819416498993964,0.07,0.0,silent_bins,0.6383,0.4199160908193485,0.28729660287036257,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,36,16,3.9625,0.634,0.7695739080816085,2.444639922768098,1.0,2582,2582,2.4554608830364058,16.0,0.018567002323780016,0.12,0.0,silent_bins,0.5206,0.3718941756362539,0.19428170340016518,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,37,16,5.0,0.8,0.8609297300012354,2.0309713123153386,1.0,2274,2274,3.5180299032541775,20.0,0.024964819700967457,0.16,0.0,silent_bins,0.4323,0.5018100202722271,0.2036223493631542,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,38,16,2.6618749999999998,0.4259,0.6552169030176191,3.170469825660775,1.0,2295,2295,1.8557734204793028,9.0,0.015006535947712419,0.07,0.0,silent_bins,0.6556,0.2806615359423612,0.17500201508006893,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,39,16,2.988125,0.4781,0.6741812738425772,2.7577981593911174,1.0,2235,2235,2.1391498881431765,11.0,0.017369127516778524,0.09,0.0,silent_bins,0.6118,0.3765739385065886,0.1968510921471678,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,40,16,2.773125,0.4437,0.6480974540915895,3.14612028981541,1.0,2382,2382,1.86272040302267,12.0,0.01538623005877414,0.09,0.0,silent_bins,0.6335,0.3002594033722438,0.14439294138381956,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
3,41,16,5.964375,0.9543,1.0156827802025592,2.4883765920623397,2.0,1991,2447,3.89987740089906,24.0,0.024017163874131588,0.13,0.0,silent_bins,0.4123,0.42830664675899704,0.1746550247484584,2000,2000,0,0.0,1600,400,1600,400,0,0,0.00043571785892946473,0.0,1742,1742,0,0.871,0.871,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12345,baseline
