generation,n_clusters,mean_cluster_size,scaled_variance,mean_variance,timescale,kurtosis_corr,mean_rate_hz,pop_rate_mean_hz,pop_rate_std_hz,scaled_variance_norm,timescale_norm,N0,N1,n_add,add_neuron_frac,e0,i0,e1,i1,n_add_e,n_add_i,baseline_edge_density,p_new_edge_density,n_edges_old,n_edges_new_total,n_edges_added,mean_out_degree_old,mean_out_degree_new,actual_N,actual_E,actual_I,actual_ei_ratio_implied,actual_dt,actual_refractory_steps,actual_p_ext,actual_slope,actual_e_w,actual_i_w,actual_theta,T_RUN,repeat,seed,condition
2,650,4.0,2.3699982166290283,2.3699982166290283,0.19381666047402019,28.62386514554096,5.321819230769231,5.321819230769231,0.5393522724818733,8.905223978455624,1.111690829079314,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,2600,2080,520,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12347,add_frac_0.3000_nadd_600
3,325,8.0,6.690906524658203,6.690906524658203,0.20326213003011942,22.32425292439381,5.321819230769231,5.321819230769231,0.5393522724818733,25.140956142043372,1.1658680182651264,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,2600,2080,520,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12347,add_frac_0.3000_nadd_600
4,163,15.950920245398773,17.91974449157715,17.91974449157715,0.20977247177109995,15.453497452345427,5.321819230769231,5.321819230769231,0.5393522724818733,67.33310481607403,1.203209943308719,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,2600,2080,520,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12347,add_frac_0.3000_nadd_600
5,82,31.70731707317073,45.150352478027344,45.150352478027344,0.2166216197244808,11.03903092684808,5.321819230769231,5.321819230769231,0.5393522724818733,169.65160509485239,1.2424951881796134,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,2600,2080,520,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12347,add_frac_0.3000_nadd_600
6,41,63.41463414634146,111.80984497070312,111.80984497070312,0.22018966889326358,5.148138880289421,5.321819230769231,5.321819230769231,0.5393522724818733,420.1234015596583,1.2629607535698064,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,2600,2080,520,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12347,add_frac_0.3000_nadd_600
7,21,123.80952380952381,255.27340698242188,255.27340698242188,0.22564558632435897,4.551532851890039,5.321819230769231,5.321819230769231,0.5393522724818733,959.1850529555713,1.2942547267376896,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,2600,2080,520,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12347,add_frac_0.3000_nadd_600
8,11,236.36363636363637,574.540283203125,574.540283203125,0.23436591590990422,4.301371334138947,5.321819230769231,5.321819230769231,0.5393522724818733,2158.8243698539522,1.3442726684517308,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,2600,2080,520,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12347,add_frac_0.3000_nadd_600
9,6,433.3333333333333,1263.3438720703125,1263.3438720703125,0.23984466223999024,2.129233231870092,5.321819230769231,5.321819230769231,0.5393522724818733,4746.99097394153,1.3756975832919336,2000,2600,600,0.3,1600,400,2080,520,480,120,0.0004462231115557779,0.0004462231115557779,1784,2951,1167,0.892,1.135,2600,2080,520,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,0,12347,add_frac_0.3000_nadd_600
0,2000,1.0,0.2475089281797409,0.2475089281797409,0.18525828515815793,39.395757213197335,3.7629500000000005,3.76295,0.494811880920416,1.0,1.0,2000,2000,0,0.0,1600,400,1600,400,0,0,0.0004459729864932466,0.0,1783,1783,0,0.8915,0.8915,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22345,baseline
1,1000,2.0,0.7254145741462708,0.7254145741462708,0.19763970011675053,34.36670749289545,3.7629500000000005,3.76295,0.494811880920416,2.9308622500254815,1.0668332590254865,2000,2000,0,0.0,1600,400,1600,400,0,0,0.0004459729864932466,0.0,1783,1783,0,0.8915,0.8915,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22345,baseline
2,500,4.0,2.0520009994506836,2.0520009994506836,0.20917614716324098,30.8782121792073,3.7629500000000005,3.76295,0.494811880920416,8.290614058012974,1.1291054917444798,2000,2000,0,0.0,1600,400,1600,400,0,0,0.0004459729864932466,0.0,1783,1783,0,0.8915,0.8915,2000,1600,400,0.2,0.01,2,0.015,2.25,21.4115,21.675,7.5,100.0,1,22345,baseline
