module_id,module_size,local_mean_rate_hz,local_pop_count_mean,local_pop_count_std,local_avalanche_tau,local_avalanche_xmin,local_avalanche_n_tail,local_n_avalanches,local_avalanche_size_mean,local_avalanche_size_max,local_avalanche_threshold,local_branching_proxy,local_timescale,N0,N1,n_add,add_neuron_frac,e0,i0,e1,i1,n_add_e,n_add_i,baseline_edge_density,p_new,n_edges_old,n_edges_new_total,n_edges_added,mean_out_degree_old,mean_out_degree_new,repeat,seed,condition,analysis_level
0,64,2.9656249999999997,1.898,1.3898186932114565,1.949773471515861,4.4,58,73,13.0,45.0,0.0,0.6439448875997099,-0.13848374365667898,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
1,64,3.4562500000000003,2.212,1.3156960135228806,1.9178045774988877,10.0,29,36,30.72222222222222,95.0,0.0,0.7708333333333334,0.006542719915384687,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
2,64,3.1718749999999996,2.03,1.3330791424367872,1.8907766406288486,5.600000000000001,43,54,18.796296296296298,109.0,0.0,0.7282312925170068,-0.0029695061965994696,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
3,64,3.5187499999999994,2.252,1.516738606352459,2.1724137821487215,8.0,50,55,20.472727272727273,61.0,0.0,0.7074626865671642,-0.19348959614963188,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
4,64,3.2,2.048,1.4838113087586307,1.8182184462184792,4.0,50,61,16.78688524590164,106.0,0.0,0.6665623043206012,-0.20277809734670998,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
5,64,4.740625,3.034,1.7778762611610517,1.798372965153008,14.0,21,25,60.68,345.0,0.0,0.7993202783621945,-0.12316921419223448,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
6,64,6.293749999999999,4.028,1.6417113022696774,2.7418238642297608,5.0,91,91,10.417582417582418,38.0,4.0,0.8832062685302838,0.06365404886330986,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
7,64,3.9968749999999997,2.558,1.6500412116065466,1.8183009556148173,8.4,34,43,29.74418604651163,123.0,0.0,0.7071799307958477,-0.24482800162618562,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
8,64,3.5249999999999995,2.256,1.4305467486244552,1.72224744413878,7.6000000000000005,31,39,28.923076923076923,93.0,0.0,0.7626262626262627,0.04419402687239124,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
9,64,3.9968749999999997,2.558,1.5213927829459426,1.7810275016728996,11.200000000000001,23,29,44.10344827586207,232.0,0.0,0.7908719346049047,0.06554615039788775,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
10,64,3.221875,2.062,1.47721223932108,1.897246149709356,5.0,53,61,16.901639344262296,57.0,0.0,0.6893868658574541,0.027911306504085798,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
11,64,3.653125,2.338,1.455938185501019,2.0697070931338164,11.0,30,37,31.594594594594593,275.0,0.0,0.7510615711252654,-0.04119045387911613,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
12,64,3.503125,2.242,1.4406373589491561,1.6921566919690219,5.800000000000001,36,45,24.91111111111111,79.0,0.0,0.7420355229771638,0.012066195100079072,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004234617308654327,0.0004234617308654327,1693,1996,303,0.8465,0.9072727272727272,0,12346,add_frac_0.1000_nadd_200,5
