generation,n_clusters,mean_cluster_size,scaled_variance,mean_variance,timescale,kurtosis_corr,mean_rate_hz,pop_rate_mean_hz,pop_rate_std_hz,scaled_variance_norm,timescale_norm,N0,N1,n_add,add_neuron_frac,e0,i0,e1,i1,n_add_e,n_add_i,baseline_edge_density,p_new,n_edges_old,n_edges_new_total,n_edges_added,mean_out_degree_old,mean_out_degree_new,repeat,seed,condition,analysis_level
0,2000,1.0,0.24693825840950012,0.24693825840950012,-0.034020990659367104,2.8218874778535565,3.7563,3.7563,0.5290985824966836,1.0,1.0,2000,2000,0,0.0,1600,400,1600,400,0,0,0.0004459729864932466,0.0,1783,1783,0,0.8915,0.8915,1,22345,baseline,5
1,1000,2.0,0.8127768039703369,0.8127768039703369,-0.03601310666101053,2.7412150888529387,3.7563,3.7563,0.5290985824966836,3.2914170902691846,1.0585554965635584,2000,2000,0,0.0,1600,400,1600,400,0,0,0.0004459729864932466,0.0,1783,1783,0,0.8915,0.8915,1,22345,baseline,5
2,500,4.0,2.637590169906616,2.637590169906616,-0.03942493176629139,2.662312922947457,3.7563,3.7563,0.5290985824966836,10.681172641675778,1.1588413800477149,2000,2000,0,0.0,1600,400,1600,400,0,0,0.0004459729864932466,0.0,1783,1783,0,0.8915,0.8915,1,22345,baseline,5
3,250,8.0,8.451325416564941,8.451325416564941,-0.04292950191057082,2.583438018443343,3.7563,3.7563,0.5290985824966836,34.22444732136252,1.2618533757702588,2000,2000,0,0.0,1600,400,1600,400,0,0,0.0004459729864932466,0.0,1783,1783,0,0.8915,0.8915,1,22345,baseline,5
4,125,16.0,26.69677734375,26.69677734375,-0.044608133685448,2.5220044560215555,3.7563,3.7563,0.5290985824966836,108.11114290552123,1.3111944367547659,2000,2000,0,0.0,1600,400,1600,400,0,0,0.0004459729864932466,0.0,1783,1783,0,0.8915,0.8915,1,22345,baseline,5
5,63,31.746031746031747,82.71316528320312,82.71316528320312,-0.05093688462032578,2.487408214429924,3.7563,3.7563,0.5290985824966836,334.95484181328874,1.497219323514942,2000,2000,0,0.0,1600,400,1600,400,0,0,0.0004459729864932466,0.0,1783,1783,0,0.8915,0.8915,1,22345,baseline,5
6,32,62.5,254.25608825683594,254.25608825683594,-0.04361784551504225,2.4171108812218973,3.7563,3.7563,0.5290985824966836,1029.6342490405054,1.2820862846635777,2000,2000,0,0.0,1600,400,1600,400,0,0,0.0004459729864932466,0.0,1783,1783,0,0.8915,0.8915,1,22345,baseline,5
7,16,125.0,744.1900634765625,744.1900634765625,-0.04296771512144748,2.4150334763489543,3.7563,3.7563,0.5290985824966836,3013.668551279992,1.262976600289476,2000,2000,0,0.0,1600,400,1600,400,0,0,0.0004459729864932466,0.0,1783,1783,0,0.8915,0.8915,1,22345,baseline,5
0,2200,1.0,0.24596984684467316,0.24596984684467316,-0.033834906278635724,2.8097895542161933,3.912090909090909,3.912090909090909,0.487211758397374,1.0,1.0,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004344672336168084,0.0004344672336168084,1737,2097,360,0.8685,0.9531818181818181,1,22346,add_frac_0.1000_nadd_200,5
1,1100,2.0,0.8063406944274902,0.8063406944274902,-0.03821530235113588,2.733001036521274,3.912090909090909,3.912090909090909,0.487211758397374,3.2782095235302733,1.129463815753675,2000,2200,200,0.1,1600,400,1760,440,160,40,0.0004344672336168084,0.0004344672336168084,1737,2097,360,0.8685,0.9531818181818181,1,22346,add_frac_0.1000_nadd_200,5
